"Process Path","Work Pool","ExSD","Quantity"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 23:30","4"
"PPSingleMedium","ManifestPending","2022-12-01 02:30","87"
"PPMultiWrap","ReadyToPickNonPickable","2022-11-30 19:15","1"
"PPMultiMedium","Sorted","2022-11-30 23:00","31"
"PPNonCon","PickingNotYetPicked","2022-11-30 23:00","1"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 23:30","3"
"PPNonCon","PickingNotYetPicked","2022-11-30 18:45","1"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 18:45","12"
"PPSingleMedium","PickingPicked","2022-12-01 23:30","1"
"PPMultiWrap","ReadyToPick","2022-11-30 19:45","15"
"PPSingleMedium","PickingPickedRouting","2022-11-30 18:45","2"
"PPMultiWrap","ReadyToPickUnconstrained","2022-12-01 19:45","1"
"PPMultiMedium","ManifestPending","2022-11-30 14:30","550"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 23:00","38"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 10:45","96"
"PPMultiMedium","ReadyToPickNonPickable","2022-11-30 18:45","2"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-11-30 14:30","2"
"PPMultiMedium","ReadyToPick","2022-11-30 23:30","114"
"PPSingleMedium","PickingPickedAtDestination","2022-11-30 23:00","11"
"PPSingleMedium","PickingPicked","2022-12-01 02:30","6"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 06:45","1"
"PPNonCon","PickingNotYetPickedPrioritized","2022-12-01 06:45","2"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 19:45","649"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 06:45","130"
"PPMultiMedium","PickingNotYetPicked","2022-12-01 14:30","4"
"PPSingleMedium","PickingPickedAtDestination","2022-11-30 19:45","25"
"PPSingleMedium","PickingPicked","2022-11-30 23:00","12"
"PPMultiMedium","PickingPicked","2022-11-30 18:45","1"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 02:30","5"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 19:15","4"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 23:30","719"
"PPMultiWrap","ReadyToPick","2022-12-01 14:30","1"
"PPMultiMedium","PickingNotYetPickedNotPrioritized","2022-12-01 19:45","2"
"PPMultiWrap","ReadyToPick","2022-12-01 18:45","3"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 19:15","2"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 19:15","27"
"PPMultiWrap","ReadyToPickUnconstrained","2022-12-01 23:00","1"
"PPMultiMedium","PickingPickedAtDestination","2022-11-30 18:45","1"
"PPSingleMedium","PickingPickedRouting","2022-11-30 19:45","1"
"PPSingleMedium","PickingPicked","2022-11-30 19:45","30"
"PPMultiMedium","ReadyToPick","2022-11-30 19:45","93"
"PPMultiMedium","PickingNotYetPicked","2022-12-01 10:45","96"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 03:30","29"
"PPMultiWrap","ReadyToPickNonPickable","2022-11-30 19:45","1"
"PPMultiMedium","ManifestPendingVerification","2022-12-01 14:15","1"
"PPMultiMedium","PickingNotYetPicked","2022-11-30 19:15","14"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-11-30 14:30","235"
"PPSingleMedium","PickingNotYetPicked","2022-11-30 18:45","275"
